"Id","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","TotalBsmtSF","GrLivArea","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","SalePrice"
240,52,8741,6,4,1945,1950,735,1487,3,7,1,1949,1,220,0,113000
241,75,9000,8,5,2008,2008,1566,1566,3,7,0,2008,2,750,144,262500
242,40,3880,5,9,1945,1997,686,866,2,4,0,NA,0,0,58,110500
243,63,5000,5,4,1900,1950,540,1440,3,6,0,1940,1,352,0,79000
244,75,10762,6,6,1980,1980,626,1217,3,6,1,1980,1,288,0,120000
245,NA,8880,7,5,1994,2002,948,2110,3,8,2,1994,2,463,0,205000
246,80,10400,7,5,1988,1988,1845,1872,3,6,1,1988,2,604,197,241500
247,69,9142,6,8,1910,1950,1020,1928,4,9,0,1910,1,440,0,137000
248,75,11310,6,5,1954,1954,1367,1375,2,5,1,1954,2,451,0,140000
249,72,11317,7,5,2003,2003,840,1668,3,8,0,2003,2,500,144,180000
250,NA,159000,6,7,1958,2006,1444,2144,4,7,2,1958,2,389,0,277000
251,55,5350,3,2,1940,1966,728,1306,3,6,0,NA,0,0,263,76500
252,44,4750,8,5,2006,2007,1573,1625,2,5,1,2006,2,538,123,235000
253,65,8366,6,5,2004,2004,798,1640,3,6,0,2004,2,520,138,173000
254,85,9350,6,7,1964,1991,1302,1302,3,7,0,1964,1,309,333,158000
255,70,8400,5,6,1957,1957,1314,1314,3,5,0,1957,1,294,250,145000
256,66,8738,7,5,1999,1999,975,2291,4,8,1,1999,2,429,192,230000
257,64,8791,6,5,2003,2003,864,1728,3,7,0,2003,2,673,216,207500
258,68,8814,7,5,2006,2006,1604,1604,3,8,1,2006,2,660,123,220000
259,80,12435,7,5,2001,2001,963,1792,3,7,1,2001,2,564,0,231500
260,70,12702,5,5,1956,1956,0,882,2,4,0,1956,1,308,0,97000
261,120,19296,6,5,1962,1962,1362,1382,3,6,1,1991,2,884,0,176000
262,69,9588,8,5,2007,2007,1482,2574,3,10,1,2007,3,868,0,276000
263,88,8471,6,7,1977,1995,506,1212,3,6,1,1978,2,492,292,151000
264,50,5500,5,7,1929,2001,926,1316,3,6,0,1974,2,484,0,130000
265,30,5232,5,5,1925,2004,680,764,2,4,0,1965,2,504,0,73000
266,78,12090,6,6,1981,1981,1422,1422,3,7,1,1981,2,576,276,175500
267,70,11207,6,5,1997,1997,802,1511,3,8,1,1997,2,413,95,185000
268,60,8400,5,8,1939,1997,720,2192,4,8,1,1939,1,240,262,179500
269,71,6900,5,6,1940,1955,740,778,2,4,1,1966,1,924,0,120500
270,NA,7917,6,7,1976,1976,1143,1113,3,6,1,1987,1,504,370,148000
271,84,10728,8,5,2006,2006,1095,1939,3,8,1,2006,3,1053,192,266000
272,73,39104,7,7,1954,2005,1385,1363,2,5,2,1954,2,439,81,241500
273,92,11764,8,7,1999,2007,1152,2270,4,9,1,1999,3,671,132,290000
274,80,9600,6,6,1958,1988,1240,1632,3,6,1,1958,1,338,289,139000
275,76,8314,5,7,1982,1982,816,816,2,5,0,1982,1,264,168,124500
276,55,7264,7,7,1925,2007,952,1548,3,5,0,1978,2,672,74,205000
277,129,9196,7,5,2003,2003,1560,1560,3,7,0,2003,2,573,100,201000
278,140,19138,4,5,1951,1951,864,864,2,4,0,1951,2,400,0,141000
279,107,14450,9,5,2006,2007,2121,2121,3,8,1,2007,3,732,124,415298
280,83,10005,7,5,1977,1977,1160,2022,4,8,1,1977,2,505,288,192000
281,82,11287,7,6,1989,1989,807,1982,3,7,1,1989,2,575,0,228500
282,60,7200,6,5,2006,2006,1262,1262,2,5,0,2006,2,572,0,185000
283,34,5063,7,5,2007,2008,1314,1314,2,6,1,2008,2,626,172,207500
284,74,9612,8,5,2008,2009,1468,1468,3,6,1,2008,3,898,210,244600
285,50,8012,6,5,1992,1992,1575,1575,2,5,0,1992,2,529,0,179200
286,35,4251,7,5,2006,2007,625,1250,2,5,0,2006,2,528,0,164700
287,77,9786,6,7,1962,1981,912,1734,3,7,1,1962,2,440,0,159000
288,NA,8125,4,4,1971,1971,858,858,3,5,0,NA,0,0,0,88000
289,NA,9819,5,5,1967,1967,882,900,3,5,0,1970,1,280,0,122000
290,60,8730,6,7,1915,2003,698,1396,3,7,0,2003,1,384,0,153575
291,120,15611,8,5,2006,2006,1079,1919,3,8,1,2006,2,685,0,233230
292,55,5687,5,6,1912,2000,780,1716,6,9,0,NA,0,0,0,135900
293,60,11409,5,4,1949,2008,768,1716,3,8,1,1949,1,281,0,131000
294,NA,16659,7,7,1977,1994,795,2263,3,9,1,1977,2,539,0,235000
295,80,9600,6,5,1953,1953,1416,1644,3,7,2,1953,2,418,110,167000
296,37,7937,6,6,1984,1984,1003,1003,3,6,0,1984,2,588,120,142500
297,75,13710,5,5,1950,1950,910,1558,4,6,0,1950,1,282,289,152000
298,66,7399,7,5,1997,1998,975,1950,3,7,1,1997,2,576,0,239000
299,90,11700,6,6,1968,1968,702,1743,3,7,1,1968,2,539,224,175000
300,80,14000,6,8,1950,2004,1092,1152,3,6,1,1950,1,300,0,158500
301,90,15750,5,5,1953,1953,1165,1336,2,5,2,1953,1,375,0,157000
302,66,16226,8,5,1998,1999,1028,2452,4,9,1,1998,2,683,208,267000
303,118,13704,7,5,2001,2002,1541,1541,3,6,1,2001,3,843,468,205000
304,70,9800,5,7,1972,1972,894,894,3,5,0,1975,2,552,256,149900
305,87,18386,7,9,1880,2002,1470,3493,3,10,1,2003,3,870,302,295000
306,80,10386,8,5,2004,2005,2000,2000,3,8,0,2004,3,888,168,305900
307,116,13474,7,5,1990,1991,700,2243,4,8,1,1990,3,746,127,225000
308,NA,7920,6,7,1920,1950,319,1406,3,6,0,NA,0,0,0,89500
309,NA,12342,4,5,1940,1950,861,861,1,4,0,1961,2,539,158,82500
310,90,12378,9,5,2003,2004,1896,1944,3,8,3,2003,3,708,208,360000
311,NA,7685,6,5,1993,1994,697,1501,3,6,1,1993,2,420,190,165600
312,50,8000,6,6,1948,2002,972,972,2,5,1,1948,1,240,0,132000
313,65,7800,5,7,1939,1950,793,1118,3,5,1,1939,2,410,0,119900
314,150,215245,7,5,1965,1965,2136,2036,3,8,2,1965,2,513,0,375000
315,60,9600,7,7,1925,1990,728,1641,3,6,1,1925,2,546,0,178000
316,71,7795,7,5,2004,2005,716,1432,3,6,1,2004,2,432,100,188500
317,94,13005,7,7,1980,1980,845,2353,4,10,1,1983,2,484,288,260000
318,75,9000,8,5,2006,2006,1088,1959,3,8,1,2006,3,1025,208,270000
319,90,9900,7,5,1993,1993,1347,2646,4,9,1,1993,3,656,340,260000
320,NA,14115,7,5,1980,1980,1372,1472,3,6,2,1980,2,588,233,187500
321,111,16259,9,5,2006,2006,1249,2596,4,9,0,2006,3,840,240,342643
322,99,12099,8,5,2004,2004,1136,2468,4,10,1,2004,3,872,184,354000
323,86,10380,7,5,1986,1987,1502,2730,4,8,1,1987,2,576,201,301000
324,49,5820,3,8,1955,2005,1162,1163,3,6,0,1955,1,220,142,126175
325,96,11275,7,7,1967,2007,710,2978,5,11,1,1961,2,564,240,242000
326,50,5000,5,6,1941,1950,720,803,2,5,0,1941,2,360,0,87000
327,32,10846,8,5,1993,1993,1719,1719,1,6,2,1993,2,473,122,324000
328,80,11600,6,5,1960,1960,1383,1383,3,7,0,1960,1,292,0,145250
329,NA,11888,6,6,1916,1994,844,2134,5,10,0,1930,2,441,0,214500
330,60,6402,5,5,1920,1950,596,1192,3,6,0,1920,1,189,0,78000
331,NA,10624,5,4,1964,1964,1728,1728,6,10,0,2002,1,352,155,119000
332,70,8176,5,6,1958,1992,1056,1056,3,6,0,1958,1,308,0,139000
333,85,10655,8,5,2003,2004,3206,1629,3,7,1,2003,3,880,0,284000
334,59,8198,7,5,2004,2004,1358,1358,2,6,1,2004,2,484,192,207000
335,59,9042,6,5,1998,1998,943,1638,3,7,2,1998,2,472,100,192000
336,NA,164660,5,6,1965,1965,1499,1786,3,7,2,1965,2,529,670,228950
337,86,14157,9,5,2005,2006,1922,1922,3,8,1,2005,3,676,178,377426
338,70,9135,7,5,2002,2003,1536,1536,3,7,0,2002,2,532,192,214000
